"","essround","cntry","polintr","trstprl","trstplt","trstep","vote","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","clsprty","stfdem","gndr","eisced","uempla","uempli","dsbld","mainact","pdjobev","wrkctra","mbtru"
"1799",7,"BE","Quite interested","5","6","3","Yes","No","No","No","No","Yes","No","No","Yes","6","Female","ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not applicable","Yes","Limited","Yes, currently"
"1800",7,"BE","Hardly interested","6","7","8","Not eligible to vote","No","No","Yes","No","No","Yes","No","Yes","8","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","Yes, currently"
"1810",7,"BE","Very interested","Don't know","Don't know","8","Not eligible to vote","No","No","No","No","No","No","No","Don't know","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"1822",7,"BE","Not at all interested","8","5","7","No","No","No","No","No","No","No","No","No","9","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"1823",7,"BE","Hardly interested","7","4","8","No","No","No","No","No","No","No","No","No","5","Male","Other","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"1831",7,"BE","Not at all interested","5","5","6","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"1834",7,"BE","Hardly interested","7","7","8","Yes","No","No","No","No","No","No","No","No","8","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","Yes, currently"
"1835",7,"BE","Quite interested","6","5","8","No","No","No","No","No","No","No","Yes","No","4","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"1846",7,"BE","Quite interested","6","6","6","Yes","No","No","No","No","No","No","No","Yes","7","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","Yes, currently"
"1853",7,"BE","Hardly interested","5","6","6","Yes","No","No","No","No","Yes","No","Yes","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"1854",7,"BE","Quite interested","5","3","8","Not eligible to vote","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Marked","Not marked","Housework, looking after children, others","Yes","Unlimited","No"
