"","cntry","TIME","avgpolintr","avgtrstprl","avgtrstplt","avgtrstep","avgvote","avgcontplt","avgwrkprty","avgwrkorg","avgbadge","avgsgnptit","avgpbldmn","avgbctprd","avgclsprty","avgmmbprty","avgedulvla","avguempla","avguempli","avgdsbld","avgmbtru","GEO","AGE","UNIT","SEX","Value","Flag.and.Footnotes"
"1","BE",2002,2.70588235294118,5.56470588235294,4.87058823529412,5.94117647058824,NA,1.94117647058824,1.91764705882353,1.70588235294118,1.91764705882353,1.56470588235294,1.90588235294118,1.88235294117647,1.55294117647059,1.95294117647059,3.27058823529412,0.0823529411764706,0.0705882352941176,0.0235294117647059,2.81176470588235,NA,NA,NA,NA,NA,NA
"2","BE",2004,2.78151260504202,4.97478991596639,4.43697478991597,5.47899159663866,NA,1.85714285714286,2,1.86554621848739,1.94957983193277,1.77310924369748,1.82352941176471,1.9327731092437,1.52941176470588,1.95798319327731,3.03361344537815,0.226890756302521,0.0588235294117647,0.0168067226890756,2.68067226890756,NA,NA,NA,NA,NA,NA
"3","BE",2006,2.64539007092199,5.65957446808511,4.9290780141844,6.14893617021277,NA,1.84397163120567,1.97163120567376,1.75177304964539,1.87943262411348,1.63829787234043,1.92198581560284,1.93617021276596,1.51063829787234,1.98581560283688,2.91489361702128,0.156028368794326,0.0638297872340425,0.0141843971631206,2.71631205673759,"Belgium","Less than 25 years","Percentage of active population","Total","20.5",""
"4","BE",2008,2.72881355932203,4.93220338983051,4.19491525423729,6.02542372881356,NA,1.90677966101695,1.94915254237288,1.83050847457627,1.90677966101695,1.58474576271186,1.85593220338983,1.85593220338983,1.54237288135593,1.95762711864407,2.88983050847458,0.127118644067797,0.0423728813559322,0.0254237288135593,2.6864406779661,"Belgium","Less than 25 years","Percentage of active population","Total","18.0",""
"5","BE",2010,2.74045801526718,4.96946564885496,4.34351145038168,5.98473282442748,NA,1.93893129770992,1.97709923664122,1.79389312977099,1.94656488549618,1.79389312977099,1.95419847328244,1.90076335877863,1.56488549618321,1.97709923664122,3.09160305343511,0.122137404580153,0.0458015267175573,0,2.83206106870229,"Belgium","Less than 25 years","Percentage of active population","Total","22.4",""
"6","BE",2012,2.94117647058824,5.31932773109244,4.63865546218487,6.10924369747899,NA,1.92436974789916,1.99159663865546,1.85714285714286,1.94117647058824,1.71428571428571,1.94117647058824,1.9327731092437,1.60504201680672,NA,3.26890756302521,0.134453781512605,0.0504201680672269,0.00840336134453781,2.85714285714286,"Belgium","Less than 25 years","Percentage of active population","Total","19.8",""
"7","BE",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belgium","Less than 25 years","Percentage of active population","Total","23.2",""
"8","BG",2006,2.78723404255319,2.59574468085106,2.04255319148936,5.04255319148936,NA,1.97872340425532,1.97872340425532,2.12765957446809,1.97872340425532,1.93617021276596,2,2,1.61702127659574,1.97872340425532,2.74468085106383,0.191489361702128,0.127659574468085,0,3,"Bulgaria","Less than 25 years","Percentage of active population","Total","18.3",""
"9","BG",2008,3.29487179487179,2.06410256410256,1.58974358974359,4.62820512820513,NA,1.98717948717949,2,1.97435897435897,1.98717948717949,1.92307692307692,1.92307692307692,1.98717948717949,1.57692307692308,1.98717948717949,2.65384615384615,0.243589743589744,0.0512820512820513,0,3,"Bulgaria","Less than 25 years","Percentage of active population","Total","11.9",""
"10","BG",2010,3.17924528301887,2.31132075471698,1.90566037735849,4.93396226415094,NA,1.9622641509434,1.97169811320755,1.9811320754717,1.97169811320755,1.89622641509434,1.94339622641509,1.94339622641509,1.70754716981132,1.9811320754717,2.73584905660377,0.235849056603774,0.0849056603773585,0.00943396226415094,2.99056603773585,"Bulgaria","Less than 25 years","Percentage of active population","Total","21.9","i"
"11","BG",2012,2.875,2.140625,1.515625,4.71875,NA,1.984375,1.984375,1.984375,1.953125,1.9375,1.90625,1.953125,1.65625,NA,2.578125,0.34375,0.09375,0,3,"Bulgaria","Less than 25 years","Percentage of active population","Total","28.1",""
"12","BG",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bulgaria","Less than 25 years","Percentage of active population","Total","23.8",""
"13","CY",2006,3.08823529411765,5.44117647058824,3.88235294117647,5.47058823529412,NA,1.85294117647059,1.94117647058824,1.94117647058824,1.85294117647059,1.97058823529412,1.97058823529412,1.94117647058824,1.35294117647059,1.91176470588235,3.82352941176471,0.235294117647059,0.0588235294117647,0,2.85294117647059,"Cyprus","Less than 25 years","Percentage of active population","Total","10.0",""
"14","CY",2008,3.11290322580645,4.98387096774194,4.33870967741935,6.29032258064516,NA,1.80645161290323,1.87096774193548,1.98387096774194,1.91935483870968,1.90322580645161,1.95161290322581,1.91935483870968,1.40322580645161,1.87096774193548,3.45161290322581,0.032258064516129,0.032258064516129,0,2.85483870967742,"Cyprus","Less than 25 years","Percentage of active population","Total","9.0",""
"15","CY",2010,3.22413793103448,4.81034482758621,3.53448275862069,5.25862068965517,NA,1.87931034482759,1.96551724137931,1.94827586206897,1.94827586206897,1.93103448275862,1.89655172413793,1.98275862068966,1.67241379310345,1.93103448275862,3.25862068965517,0.189655172413793,0,0.0344827586206897,2.93103448275862,"Cyprus","Less than 25 years","Percentage of active population","Total","16.6",""
"16","CY",2012,3.05714285714286,2.64285714285714,2.25714285714286,3.7,NA,1.91428571428571,1.98571428571429,1.97142857142857,1.94285714285714,1.91428571428571,1.95714285714286,1.91428571428571,1.61428571428571,NA,3.57142857142857,0.371428571428571,0.0714285714285714,0,2.95714285714286,"Cyprus","Less than 25 years","Percentage of active population","Total","27.7",""
"17","CY",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprus","Less than 25 years","Percentage of active population","Total","36.0",""
"18","CZ",2002,3.03571428571429,3.32142857142857,3.07142857142857,4.39285714285714,NA,1.85714285714286,1.92857142857143,1.82142857142857,1.92857142857143,1.82142857142857,1.89285714285714,1.85714285714286,1.71428571428571,2,2.78571428571429,0.107142857142857,0.0357142857142857,0,3,NA,NA,NA,NA,NA,NA
"19","CZ",2004,3.31192660550459,4.1651376146789,3.3302752293578,5.06422018348624,NA,1.84403669724771,1.99082568807339,1.94495412844037,1.88073394495413,1.8348623853211,1.97247706422018,1.96330275229358,1.77064220183486,1.99082568807339,2.71559633027523,0.137614678899083,0.0458715596330275,0.00917431192660551,2.98165137614679,NA,NA,NA,NA,NA,NA
"20","CZ",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czech Republic","Less than 25 years","Percentage of active population","Total","17.5",""
"21","CZ",2008,3.51111111111111,3.9,3.01111111111111,4.27777777777778,NA,1.92222222222222,1.98888888888889,1.91111111111111,1.95555555555556,1.85555555555556,1.95555555555556,1.95555555555556,1.73333333333333,2,2.72222222222222,0.111111111111111,0.1,0.0111111111111111,2.93333333333333,"Czech Republic","Less than 25 years","Percentage of active population","Total","9.9",""
"22","CZ",2010,3.46666666666667,3.64666666666667,2.89333333333333,4.80666666666667,NA,1.94,1.99333333333333,1.91333333333333,1.94666666666667,1.84666666666667,1.95333333333333,1.90666666666667,1.76666666666667,2.04,2.72,0.146666666666667,0.04,0.00666666666666667,2.98,"Czech Republic","Less than 25 years","Percentage of active population","Total","18.3",""
"23","CZ",2012,3.52475247524752,3.83168316831683,3.2970297029703,4.61386138613861,NA,1.98019801980198,2,2.03960396039604,1.83168316831683,1.81188118811881,1.92079207920792,1.88118811881188,1.89108910891089,NA,2.68316831683168,0.0495049504950495,0.0198019801980198,0.0099009900990099,2.99009900990099,"Czech Republic","Less than 25 years","Percentage of active population","Total","19.5",""
"24","CZ",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czech Republic","Less than 25 years","Percentage of active population","Total","15.9",""
"25","DE",2002,2.48550724637681,4.44202898550725,3.55072463768116,4.99275362318841,NA,1.85507246376812,1.95652173913043,1.78985507246377,1.90579710144928,1.67391304347826,1.71739130434783,1.76086956521739,1.71014492753623,1.98550724637681,2.61594202898551,0.144927536231884,0.0289855072463768,0,2.91304347826087,NA,NA,NA,NA,NA,NA
"26","DE",2004,2.61538461538462,4.42657342657343,3.46853146853147,4.94405594405594,NA,1.95804195804196,1.98601398601399,1.83916083916084,1.92307692307692,1.68531468531469,1.79020979020979,1.88811188811189,1.71328671328671,1.98601398601399,2.70629370629371,0.174825174825175,0.020979020979021,0.00699300699300699,2.96503496503496,NA,NA,NA,NA,NA,NA
"27","DE",2006,2.6551724137931,4.43103448275862,3.35344827586207,4.50862068965517,NA,1.87931034482759,1.96551724137931,1.81896551724138,1.88793103448276,1.69827586206897,1.85344827586207,1.75862068965517,1.73275862068966,1.98275862068966,2.77586206896552,0.129310344827586,0.0344827586206897,0.0172413793103448,2.95689655172414,"Germany","Less than 25 years","Percentage of active population","Total","13.6",""
"28","DE",2008,2.53125,5.36458333333333,4.17708333333333,5.57291666666667,NA,1.91666666666667,1.96875,1.71875,1.88541666666667,1.625,1.83333333333333,1.80208333333333,1.61458333333333,1.95833333333333,2.76041666666667,0.166666666666667,0.03125,0.0104166666666667,2.94791666666667,"Germany","Less than 25 years","Percentage of active population","Total","10.4",""
"29","DE",2010,2.53030303030303,4.95454545454545,3.95454545454545,5.20454545454545,NA,1.90151515151515,1.95454545454545,1.75,1.93939393939394,1.67424242424242,1.79545454545455,1.75,1.5530303030303,1.96969696969697,2.71969696969697,0.0606060606060606,0.0227272727272727,0.00757575757575758,2.91666666666667,"Germany","Less than 25 years","Percentage of active population","Total","9.8",""
"30","DE",2012,2.43859649122807,5.71929824561404,4.51754385964912,5.6140350877193,NA,1.92105263157895,1.95614035087719,1.71929824561404,1.94736842105263,1.64912280701754,1.84210526315789,1.71929824561404,1.52631578947368,NA,2.92105263157895,0.087719298245614,0.0263157894736842,0.0263157894736842,2.92105263157895,"Germany","Less than 25 years","Percentage of active population","Total","8.0",""
"31","DE",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany","Less than 25 years","Percentage of active population","Total","7.7",""
"32","DK",2002,2.3695652173913,6.23913043478261,5.43478260869565,4.89130434782609,NA,1.84782608695652,1.91304347826087,1.78260869565217,1.84782608695652,1.56521739130435,1.65217391304348,1.80434782608696,1.41304347826087,1.95652173913043,2.69565217391304,0.0869565217391304,0,0.0217391304347826,2.15217391304348,NA,NA,NA,NA,NA,NA
"33","DK",2004,2.33333333333333,6.25490196078431,5.56862745098039,5.47058823529412,NA,1.92156862745098,1.98039215686275,1.84313725490196,1.90196078431373,1.70588235294118,1.90196078431373,1.74509803921569,1.27450980392157,1.98039215686275,2.58823529411765,0.0784313725490196,0.0392156862745098,0.0392156862745098,2.31372549019608,NA,NA,NA,NA,NA,NA
"34","DK",2006,2.31818181818182,6.59090909090909,5.86363636363636,6.31818181818182,1.22727272727273,1.90909090909091,2,1.81818181818182,1.86363636363636,1.54545454545455,1.95454545454545,1.90909090909091,1.40909090909091,2,3.18181818181818,0.0454545454545455,0.0454545454545455,0.0454545454545455,2.45454545454545,"Denmark","Less than 25 years","Percentage of active population","Total","7.7","i"
"35","DK",2008,2.39285714285714,6.60714285714286,5.82142857142857,5.89285714285714,NA,1.92857142857143,1.96428571428571,1.85714285714286,1.85714285714286,1.64285714285714,1.89285714285714,1.82142857142857,1.25,2,2.60714285714286,0.25,0.0714285714285714,0.0357142857142857,2.46428571428571,"Denmark","Less than 25 years","Percentage of active population","Total","8.0",""
